"","ID","Latitude","Longitude","SOx","CO2","NOx","Height","Diam","Velocity","Temp"
"51","1167-8",41.3917,-91.0569,2709.079,711224.22,3124.127,68.58,2.6008584,106.68,312.067609084974
"52","1167-9",41.3917,-91.0569,498.91,1302538.799,1649.737,91.44,3.2004,54.864,311.005074919801
"53","1217-1",43.1606,-95.2569,2852.088,324445.489,1133.784,45.1104,2.5398984,102.108,285.438321729593
"54","1239-39",37.0719,-94.6986,3768.84,425106.3,901.642,53.34,4.17576,117.348,278.927777777778
"55","1239-40",37.0719,-94.6986,3330.829,591693.275,1229.821,53.34,4.17576,117.348,278.927777777778
"56","1241-1",38.3472,-94.6389,6650.487,4390746.676,20982.809,213.36,7.0104,38.7096,307.038888888889
"57","1241-2",38.3472,-94.6389,20973.51,5853559.94,9321.239,213.36,7.3152,85.6488,311.483333333333
"58","1250-3",39.0072,-95.2692,1455.513,485176.382,722.03,42.3672,2.740152,97.8408,285.372222222222
"59","1250-4",39.0072,-95.2692,475.243,1176852.39,1831.867,51.816,2.34696,51.816,297.038888888889
"60","1250-5",39.0072,-95.2692,1830.465,2974764.041,2597.644,108.204,5.4864,50.5968,295.927777777778
"61","1252-10",39.0522,-95.5669,3127.431,1055458.044,1941.391,64.3128,3.5052,84.7344,302.038888888889
"62","1252-9",39.0522,-95.5669,2095.899,717461.516,1412.946,64.3128,3.5052,82.6008,280.927777777778
"63","126-4",32.16,-110.9047,3712.372,888303.714,1853.681,75.5904,3.10896,87.4776,299.261111111111
"64","127-1",34.0825,-99.1753,4328.251,4829977.475,8629.549,137.7696,7.0104,36.576,309.038888888889
"65","1295-1",39.1486,-94.6405,2178.427,530826.032,2088.45,106.68,2.538984,100.584,303.15
"66","1295-2",39.1486,-94.6405,3598.667,822815.293,1303.992,106.68,3.3528,99.3648,322.594444444444
"67","130-1",33.3692,-80.1119,7213.144,8376047.995,2933.204,182.88,6.7056,45.72,302.594444444444
"68","130-2",33.3692,-80.1119,8808.589,7272698.586,2879.116,182.88,6.7056,45.72,294.261111111111
