"particle_no","lon","lat","height","hour"
"00048",-87.9814,32.7658,159,2
"00049",-87.9864,32.771,170,2
"00050",-87.9795,32.7622,144,2
"00051",-87.9685,32.7543,154,2
"00052",-87.9694,32.7546,143,2
"00053",-87.9692,32.754,152,2
"00054",-87.9703,32.7566,163,2
"00055",-87.9705,32.7567,155,2
"00056",-87.9676,32.7534,145,2
"00057",-87.968,32.7531,138,2
"00058",-87.9711,32.7567,160,2
"00059",-87.9724,32.7586,161,2
"00060",-87.9727,32.7596,178,2
"00061",-87.9506,32.7355,122,2
"00062",-87.96,32.7489,163,2
"00063",-87.9571,32.7451,125,2
"00064",-87.9557,32.7436,146,2
"00065",-87.9586,32.7468,155,2
"00066",-87.9576,32.7451,151,2
"00067",-87.9581,32.7466,145,2
"00068",-87.9533,32.7383,125,2
"00069",-87.9598,32.749,161,2
"00070",-87.9582,32.7457,149,2
"00071",-87.9493,32.7407,182,2
"00072",-87.9463,32.7362,153,2
"00073",-87.9444,32.7329,150,2
"00074",-87.9456,32.7352,152,2
"00075",-87.9444,32.733,133,2
"00076",-87.9468,32.7374,151,2
"00077",-87.9447,32.7341,138,2
"00078",-87.9444,32.7343,155,2
"00079",-87.9471,32.7373,155,2
"00080",-87.945,32.7347,138,2
"00081",-87.933,32.7242,145,2
"00082",-87.9323,32.7235,137,2
"00083",-87.9328,32.7247,145,2
"00084",-87.9315,32.7224,145,2
"00085",-87.9349,32.7275,157,2
"00086",-87.9313,32.7211,140,2
"00087",-87.9356,32.7298,162,2
"00088",-87.9347,32.7276,150,2
"00089",-87.9337,32.7261,156,2
"00090",-87.9307,32.7213,126,2
"00091",-87.9224,32.7171,163,2
"00092",-87.9204,32.7135,139,2
"00093",-87.92,32.7143,152,2
"00094",-87.9214,32.7164,151,2
"00095",-87.92,32.7136,150,2
"00096",-87.9225,32.7172,152,2
"00097",-87.9225,32.7166,161,2
"00098",-87.9207,32.7152,149,2
"00099",-87.9214,32.7157,156,2
"00100",-87.9213,32.7152,159,2
"END",NA,NA,NA,2
"00001",-88.1538,32.9352,148,3
"00002",-88.1526,32.9358,165,3
"00003",-88.1559,32.9403,182,3
"00004",-88.1507,32.9288,145,3
"00005",-88.1531,32.9342,150,3
"00006",-88.1481,32.9281,171,3
"00007",-88.1519,32.9303,151,3
"00008",-88.1475,32.9242,143,3
"00009",-88.1444,32.9197,128,3
"00010",-88.1443,32.9149,111,3
"00011",-88.1393,32.917,154,3
"00012",-88.1308,32.9052,135,3
"00013",-88.144,32.9274,176,3
"00014",-88.1333,32.9064,149,3
"00015",-88.136,32.9126,140,3
"00016",-88.1343,32.9094,161,3
"00017",-88.1394,32.9188,161,3
"00018",-88.1353,32.908,138,3
"00019",-88.145,32.9249,173,3
"00020",-88.1332,32.9086,149,3
